Date,Coal,Lignite,Gas,Diesel,HeavyOil,Naphtha,MultiFuel,Thermal,Nuclear,Hydro,Bhutan_Import,Total_Generation,Wind,Solar,Other,RES_Total
2018-04-01,2702.66,88.44,133.1,0.27,0.0,0.0,0.0,2924.47,114.25,178.47,2.44,3219.63,0.0,0.0,0.0,0.0
2018-04-02,2739.58,92.07,140.29,0.27,0.0,0.0,0.0,2972.21,115.87,222.92,0.95,3311.95,0.0,0.0,0.0,0.0
2018-04-03,2862.08,95.48,151.42,0.36,0.0,0.0,0.0,3109.34,115.05,256.66,1.01,3482.06,0.0,0.0,0.0,0.0
2018-04-04,2907.16,95.6,149.56,0.51,0.0,0.0,0.0,3152.83,115.58,259.0,2.82,3530.23,0.0,0.0,0.0,0.0
2018-04-05,2904.87,91.98,148.78,0.49,0.0,0.0,0.0,3146.12,113.9,241.07,2.82,3503.91,0.0,0.0,0.0,0.0
2018-04-06,2880.57,94.83,158.22,0.27,0.0,0.0,0.0,3133.89,112.02,237.32,2.82,3486.05,0.0,0.0,0.0,0.0
2018-04-07,2772.78,95.77,159.05,0.27,0.0,0.0,0.0,3027.87,110.71,220.03,2.82,3361.43,0.0,0.0,0.0,0.0
2018-04-08,2655.64,82.36,148.75,0.27,0.0,0.0,0.0,2887.02,111.7,199.72,2.3,3200.74,0.0,0.0,0.0,0.0
2018-04-09,2740.25,82.46,151.54,0.27,0.0,0.0,0.0,2974.52,112.28,230.37,2.3,3319.47,0.0,0.0,0.0,0.0
2018-04-10,2795.54,87.38,156.84,0.27,0.0,0.0,0.0,3040.03,112.4,251.13,0.61,3404.17,0.0,0.0,0.0,0.0
2018-04-11,2766.49,82.49,155.3,0.27,0.0,0.0,0.0,3004.55,109.93,253.65,1.48,3369.61,0.0,0.0,0.0,0.0
2018-04-12,2733.19,89.76,156.54,0.27,0.0,0.0,0.0,2979.76,108.85,250.98,3.35,3342.94,0.0,0.0,0.0,0.0
2018-04-13,2787.38,96.69,160.59,0.27,0.0,0.0,0.0,3044.93,108.9,268.34,4.02,3426.19,0.0,0.0,0.0,0.0
2018-04-14,2795.91,96.53,155.02,0.27,0.0,0.0,0.0,3047.73,110.53,278.8,3.87,3440.93,0.0,0.0,0.0,0.0
2018-04-15,2753.94,89.62,153.75,0.27,0.0,0.0,0.0,2997.58,110.48,202.47,3.19,3313.72,0.0,0.0,0.0,0.0
2018-04-16,2894.89,99.24,158.8,0.27,0.0,0.0,0.0,3153.2,110.46,238.86,3.13,3505.65,0.0,0.0,0.0,0.0
2018-04-17,2930.75,96.72,158.29,0.27,0.0,0.0,0.0,3186.03,107.9,239.35,3.13,3536.41,0.0,0.0,0.0,0.0
2018-04-18,2890.04,93.15,166.25,0.58,0.0,0.0,0.0,3150.02,107.14,232.34,3.76,3493.26,0.0,0.0,0.0,0.0
2018-04-19,2935.31,90.93,164.83,0.45,0.0,0.0,0.0,3191.52,106.86,223.43,3.76,3525.57,0.0,0.0,0.0,0.0
2018-04-20,2858.7,85.95,154.05,0.27,0.0,0.0,0.0,3098.97,106.84,236.26,4.22,3446.29,0.0,0.0,0.0,0.0
2018-04-21,2924.0,95.69,150.84,0.27,0.0,0.0,0.0,3170.8,106.72,267.12,6.14,3550.78,0.0,0.0,0.0,0.0
2018-04-22,2819.97,86.22,151.25,0.27,0.0,0.0,0.0,3057.71,107.55,225.95,6.14,3397.35,0.0,0.0,0.0,0.0
2018-04-23,2928.59,93.26,157.38,0.27,0.0,0.0,0.0,3179.5,106.7,267.06,3.76,3557.02,0.0,0.0,0.0,0.0
2018-04-24,2939.52,90.12,152.89,0.27,0.0,0.0,0.0,3182.8,107.42,276.13,3.91,3570.26,0.0,0.0,0.0,0.0
2018-04-25,2940.43,95.28,149.82,0.27,0.0,0.0,0.0,3185.8,107.16,272.89,2.59,3568.44,0.0,0.0,0.0,0.0
2018-04-26,2932.12,97.63,154.9,0.27,0.0,0.0,0.0,3184.92,107.22,287.94,2.8,3582.88,0.0,0.0,0.0,0.0
2018-04-27,2940.41,109.56,164.26,0.27,0.0,0.0,0.0,3214.5,101.5,308.23,2.8,3627.03,0.0,0.0,0.0,0.0
2018-04-28,2936.54,106.91,160.09,0.27,0.0,0.0,0.0,3203.81,90.26,320.14,3.16,3617.37,0.0,0.0,0.0,0.0
2018-04-29,2789.43,101.13,150.17,0.27,0.0,0.0,0.0,3041.0,79.44,277.54,2.88,3400.86,0.0,0.0,0.0,0.0
2018-04-30,2737.49,94.05,147.96,0.27,0.0,0.0,0.0,2979.77,80.76,298.16,4.15,3362.84,0.0,0.0,0.0,0.0
2018-05-01,2645.31,84.59,149.4,0.27,0.0,0.0,0.0,2879.57,93.91,282.34,4.15,3259.97,0.0,0.0,0.0,0.0
2018-05-02,2687.16,87.21,143.09,0.27,0.0,0.0,0.0,2917.73,104.15,330.58,10.79,3363.25,0.0,0.0,0.0,0.0
2018-05-03,2581.73,86.28,130.06,0.27,0.0,0.0,0.0,2798.34,102.69,360.04,7.67,3268.74,0.0,0.0,0.0,0.0
2018-05-04,2750.25,92.14,144.89,0.27,0.0,0.0,0.0,2987.55,94.12,355.9,8.24,3445.81,0.0,0.0,0.0,0.0
2018-05-05,2863.49,94.87,154.61,0.27,0.0,0.0,0.0,3113.24,93.92,364.11,8.07,3579.34,0.0,0.0,0.0,0.0
2018-05-06,2775.57,89.21,145.25,0.27,0.0,0.0,0.0,3010.3,97.29,299.24,9.37,3416.2,0.0,0.0,0.0,0.0
2018-05-07,2845.32,88.88,146.08,0.27,0.0,0.0,0.0,3080.55,98.42,339.83,11.47,3530.27,0.0,0.0,0.0,0.0
2018-05-08,2804.98,85.32,141.79,0.27,0.0,0.0,0.0,3032.36,98.18,350.52,14.95,3496.01,0.0,0.0,0.0,0.0
2018-05-09,2849.92,89.15,142.71,0.27,0.0,0.0,0.0,3082.05,98.18,342.47,10.28,3532.98,0.0,0.0,0.0,0.0
2018-05-10,2901.75,89.7,151.95,0.27,0.0,0.0,0.0,3143.67,97.75,342.82,8.35,3592.59,0.0,0.0,0.0,0.0
2018-05-11,2913.3,92.32,168.52,0.27,0.0,0.0,0.0,3174.41,97.94,298.7,8.35,3579.4,0.0,0.0,0.0,0.0
2018-05-12,2842.42,87.7,160.62,0.27,0.0,0.0,0.0,3091.01,97.98,295.87,8.35,3493.21,0.0,0.0,0.0,0.0
2018-05-13,2732.42,85.86,134.75,0.27,0.0,0.0,0.0,2953.3,97.79,296.7,5.58,3353.37,0.0,0.0,0.0,0.0
2018-05-14,2632.3974,93.193,142.538,0.271,0.0,0.0,0.0,2868.3994,98.131,323.325,5.69,3295.5454,0.0,0.0,0.0,0.0
2018-05-15,2858.918,96.591,143.985,0.271,0.0,0.0,0.0,3099.765,97.953,334.511,7.49,3539.719,0.0,0.0,0.0,0.0
2018-05-16,2881.073,93.248,147.482,0.271,0.0,0.0,0.0,3122.074,98.184,332.019,6.16,3558.437,0.0,0.0,0.0,0.0
2018-05-17,2907.037,94.297,165.072,0.271,0.0,0.0,0.0,3166.677,101.346,333.359,7.45,3608.832,0.0,0.0,0.0,0.0
2018-05-18,2907.403,92.078,156.161,0.271,0.0,0.0,0.0,3155.913,101.696,346.147,10.72,3614.476,0.0,0.0,0.0,0.0
2018-05-19,2880.296,94.687,181.744,0.271,0.0,0.0,0.0,3156.998,101.503,342.375,10.53,3611.406,0.0,0.0,0.0,0.0
2018-05-20,2801.71,87.599,166.037,0.271,0.0,0.0,0.0,3055.617,101.399,310.688,14.01,3481.714,0.0,0.0,0.0,0.0
2018-05-21,2949.3811,91.501,164.469,0.271,0.0,0.0,0.0,3205.6221,101.317,335.67,10.16,3652.7691,0.0,0.0,0.0,0.0
2018-05-22,3061.36,95.65,174.78,0.27,0.0,0.0,0.0,3332.06,101.95,345.41,11.41,3790.83,0.0,0.0,0.0,0.0
2018-05-23,3056.43,96.15,171.72,0.27,0.0,0.0,0.0,3324.57,102.15,366.52,11.04,3804.28,0.0,0.0,0.0,0.0
2018-05-24,3028.05,94.56,164.84,0.27,0.0,0.0,0.0,3287.72,102.63,364.43,11.04,3765.82,0.0,0.0,0.0,0.0
2018-05-25,3006.08,84.84,149.87,0.27,0.0,0.0,0.0,3241.06,96.82,375.05,11.04,3723.97,0.0,0.0,0.0,0.0
2018-05-26,2989.92,88.26,154.18,0.27,0.0,0.0,0.0,3232.63,91.83,408.84,11.04,3744.34,0.0,0.0,0.0,0.0
2018-05-27,2942.14,85.65,153.59,0.27,0.0,0.0,0.0,3181.65,94.45,384.44,11.04,3671.58,0.0,0.0,0.0,0.0
2018-05-28,3032.0,81.16,145.56,0.27,0.0,0.0,0.0,3258.99,95.35,372.86,14.34,3741.54,0.0,0.0,0.0,0.0
2018-05-29,2940.91,84.489,151.442,0.271,0.0,0.0,0.0,3177.112,105.199,345.775,10.59,3638.676,0.0,0.0,0.0,0.0
2018-05-30,2964.66,90.49,152.61,0.27,0.0,0.0,0.0,3208.03,114.19,363.8886,10.68,3696.7886,0.0,0.0,0.0,0.0
2018-05-31,2986.65,96.53,155.96,0.27,0.0,0.0,0.0,3239.41,115.06,392.42,7.44,3754.33,0.0,0.0,0.0,0.0
2018-06-01,2829.4135,95.266,190.7135,0.27,0.0,0.0,0.0,3115.663,114.0896,393.0727,8.85,3631.6753,0.0,0.0,0.0,0.0
2018-06-02,2759.2966,93.45,161.604,0.271,0.0,0.0,0.0,3014.6216,115.8167,399.2892,8.85,3538.5775,0.0,0.0,0.0,0.0
2018-06-03,2632.8504,87.155,158.9795,0.271,0.0,0.0,0.0,2879.2559,88.7626,418.4357,10.3,3396.7542,0.0,0.0,0.0,0.0
2018-06-04,2823.3232,86.468,127.7589,0.271,0.0,0.0,0.0,3037.8211,114.1648,443.222,8.75,3603.9579,0.0,0.0,0.0,0.0
2018-06-05,2847.5086,89.392,131.9551,0.271,0.0,0.0,0.0,3069.1267,114.6005,445.3663,11.45,3640.5435,0.0,0.0,0.0,0.0
2018-06-06,2748.7774,87.36,123.5397,0.271,0.0,0.0,0.0,2959.9481,113.7311,457.5029,11.45,3542.6321,0.0,0.0,0.0,0.0
2018-06-07,2739.6443,83.303,122.3919,0.271,0.0,0.0,0.0,2945.6102,114.5939,400.0987,11.45,3471.7528,0.0,0.0,0.0,0.0
2018-06-08,2591.6813,62.099,125.5294,0.271,0.0,0.0,0.0,2779.5807,81.0874,424.2929,10.01,3294.971,0.0,0.0,0.0,0.0
2018-06-09,2268.6257,73.005,123.5882,0.271,0.0,0.0,0.0,2465.4899,109.1132,425.8403,10.1,3010.5434,0.0,0.0,0.0,0.0
2018-06-10,2214.7798,82.502,120.0326,0.271,0.0,0.0,0.0,2417.5854,111.236,432.6569,11.14,2972.6183,0.0,0.0,0.0,0.0
2018-06-11,2455.7783,80.329,124.1844,0.271,0.0,0.0,0.0,2660.5627,114.989,465.74,14.63,3255.9217,0.0,0.0,0.0,0.0
