Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
Light Gradient Boosting Machine,2668.3112,14559917.1236,3804.8119,0.9815,0.0238,0.0168,0.822
Extra Trees Regressor,2724.0018,15533638.9862,3931.4427,0.9803,0.0246,0.0172,0.476
Random Forest Regressor,2808.7219,16466283.4115,4046.4005,0.9791,0.0254,0.0177,0.814
Gradient Boosting Regressor,2857.0418,16675709.8394,4073.2129,0.9788,0.0255,0.018,0.55
Linear Regression,3351.803,21269390.569,4601.2211,0.973,0.0289,0.0212,0.038
Lasso Regression,3349.6857,21248609.7961,4598.95,0.973,0.0289,0.0212,0.06
Ridge Regression,3351.0266,21261245.0126,4600.3323,0.973,0.0289,0.0212,0.022
Lasso Least Angle Regression,3350.3442,21253360.0685,4599.466,0.973,0.0289,0.0212,0.022
Bayesian Ridge,3354.6263,21260123.2714,4600.2806,0.973,0.0288,0.0212,0.026
Least Angle Regression,3364.1534,21359112.5542,4611.5812,0.9729,0.0289,0.0213,0.022
Elastic Net,3435.6791,21895702.7306,4669.5931,0.9722,0.0292,0.0217,0.058
Orthogonal Matching Pursuit,3778.9528,26275044.4886,5119.8401,0.9666,0.0318,0.0238,0.024
Huber Regressor,3616.5031,26291506.5498,5121.2957,0.9666,0.0319,0.0229,0.05
K Neighbors Regressor,3778.3022,27712964.8,5257.8838,0.9648,0.0326,0.0238,0.042
Passive Aggressive Regressor,4131.8263,32695736.1843,5676.5609,0.9585,0.0354,0.0262,0.022
Decision Tree Regressor,3950.8265,33134752.5532,5746.6299,0.9579,0.0358,0.0248,0.048
AdaBoost Regressor,4971.8981,37881321.8699,6146.8668,0.9519,0.039,0.0313,0.23
Dummy Regressor,23278.2473,786049561.6,28033.7066,-0.0005,0.1752,0.1495,0.022
