Year,Month,India: DemandMet
2013,1,123487.0
2013,2,123487.0
2013,3,122944.35483870968
2013,4,116260.8
2013,5,119337.83870967742
2013,6,113476.26666666666
2013,7,116872.80645161291
2013,8,117464.6129032258
2013,9,122892.93333333333
2013,10,117138.96774193548
2013,11,115482.33333333333
2013,12,120186.83870967742
2014,1,121478.7741935484
2014,2,121386.32142857143
2014,3,119843.64516129032
2014,4,125528.83333333333
2014,5,123746.45161290323
2014,6,129030.83333333333
2014,7,129257.7741935484
2014,8,128532.41935483871
2014,9,128757.0
2014,10,127668.0
2014,11,126067.73333333334
2014,12,126939.06451612903
2015,1,125249.19354838709
2015,2,126355.14285714286
2015,3,122830.7741935484
2015,4,125861.16666666667
2015,5,131337.61290322582
2015,6,130546.63333333333
2015,7,134815.25806451612
2015,8,136326.51612903227
2015,9,140530.86666666667
2015,10,140099.64516129033
2015,11,129679.6
2015,12,131287.90322580645
2016,1,131721.64516129033
2016,2,133233.8620689655
2016,3,131376.35483870967
2016,4,140855.2
2016,5,138332.48387096773
2016,6,141169.43333333332
2016,7,137608.29032258064
2016,8,139209.5483870968
2016,9,147826.7
2016,10,142874.09677419355
2016,11,138839.5
2016,12,138482.70967741936
2017,1,139694.4516129032
2017,2,141210.57142857142
2017,3,140551.09677419355
2017,4,150419.06666666668
2017,5,149284.67741935485
2017,6,145567.3
2017,7,146556.5806451613
2017,8,150848.74193548388
2017,9,152691.93333333332
2017,10,148642.03225806452
2017,11,144183.63333333333
2017,12,144437.96774193548
2018,1,147515.16129032258
2018,2,147727.67857142858
2018,3,150026.7741935484
2018,4,152832.06666666668
2018,5,156775.5806451613
2018,6,158329.33333333334
2018,7,156808.38709677418
2018,8,161464.03225806452
2018,9,163330.73333333334
2018,10,162280.93548387097
2018,11,150896.2
2018,12,152192.70967741936
2019,1,151768.1935483871
2019,2,151370.85714285713
2019,3,153862.0
2019,4,162742.33333333334
2019,5,166768.74193548388
2019,6,167315.46666666667
2019,7,163387.8064516129
2019,8,160749.5483870968
2019,9,161981.06666666668
2019,10,148041.8064516129
2019,11,146857.63333333333
2019,12,150472.61290322582
2020,1,153708.32258064515
2020,2,158459.7931034483
2020,3,138730.25806451612
2020,4,122945.6
2020,5,138546.2258064516
2020,6,151653.5
2020,7,158570.51612903227
2020,8,157800.48387096773
2020,9,168296.43333333332
2020,10,160912.2258064516
2020,11,150356.56666666668
2020,12,158901.09677419355
2021,1,162442.61290322582
2021,2,166307.10714285713
2021,3,170597.0
2021,4,171064.16666666666
2021,5,151821.4193548387
2021,6,163938.46666666667
2021,7,174131.4516129032
2021,8,179093.7741935484
2021,9,170346.16666666666
2021,10,164073.12903225806
2021,11,155381.73333333334
2021,12,165215.70967741936
2022,1,168115.4516129032
2022,2,174083.67857142858
2022,3,179249.7741935484
2022,4,186332.83333333334
2022,5,185398.4193548387
2022,6,188525.96666666667
2022,7,180477.12903225806
2022,8,183309.70967741936
2022,9,184879.3
2022,10,167191.35483870967
2022,11,165820.66666666666
2022,12,170860.51612903227
2023,1,175949.64516129033
2023,2,179483.2857142857
2023,3,176922.93548387097
2023,4,186110.7
2023,5,189819.38709677418
2023,6,199435.06666666668
2023,7,196127.7741935484
2023,8,207111.2258064516
2023,9,200533.43333333332
2023,10,192427.29032258064
2023,11,173438.96666666667
2023,12,173620.4516129032
2024,1,186970.87096774194
2024,2,188655.2068965517
2024,3,191134.4516129032
2024,4,202975.86666666667
2024,5,213130.16129032258
2024,6,214735.66666666666
2024,7,209541.93548387097
2024,8,202917.90322580645
2024,9,204013.76666666666
2024,10,200413.29032258064
2024,11,179605.3
2024,12,183422.67741935485
2025,1,193283.03225806452
2025,2,198507.32142857142
2025,3,203659.65677419357
2025,4,210277.1
2025,5,208832.29032258064
2025,6,217535.68066666665
2025,7,214735.48387096773
2025,8,213574.8064516129
2025,9,213965.46666666667
2025,10,191184.35483870967
2025,11,184753.36666666667
2025,12,197323.38709677418
2026,1,204586.83870967742
2026,2,206852.7142857143
2026,3,208295.13636363635
