Date,India: DemandMet,NR: DemandMet,WR: DemandMet,SR: DemandMet,ER: DemandMet,NER: DemandMet
2013-12-31,119060.23076923077,36179.87087912088,36038.51373626374,30277.93956043956,14779.898351648351,1784.0247252747254
2014-12-31,125703.5589041096,38040.47671232877,38486.51780821918,31865.4,15405.575342465754,1905.6027397260275
2015-12-31,131279.03013698632,39788.572602739725,40317.232876712325,32805.38356164384,16271.194520547946,2096.6383561643834
2016-12-31,138448.81420765028,41753.49180327869,41616.93989071038,35414.948087431694,17404.021857923497,2260.3251366120217
2017-12-31,146192.42739726027,44962.14246575342,43724.6602739726,36981.53424657534,18187.167123287672,2336.958904109589
2018-12-31,155060.26301369863,46196.44383561644,46321.40821917808,40737.076712328766,19363.797260273972,2441.5095890410958
2019-12-31,157128.3589041096,48356.0602739726,46496.98904109589,40380.18630136986,19440.24383561644,2494.019178082192
2020-12-31,151571.42076502732,48185.39617486339,44422.29508196721,37585.08743169399,18877.751366120217,2498.2295081967213
2021-12-31,166211.3506849315,51218.6904109589,50886.42191780822,40605.830136986304,20815.11232876712,2685.2958904109587
2022-12-31,177845.96986301368,55650.82191780822,54822.572602739725,42210.561643835616,22354.339726027396,2792.860273972603
2023-12-31,187623.0602739726,57594.983561643836,58226.02739726027,45820.931506849316,23137.923287671234,2843.131506849315
2024-12-31,198154.06830601091,63113.24590163935,60725.37158469945,46715.81420765027,24658.811475409835,2939.401639344262
2025-12-31,203985.0322739726,63709.77260273973,63489.72797260274,48046.26301369863,25647.125424657534,3109.167123287671
2026-12-31,206377.2962962963,59363.74074074074,67965.72839506173,51832.333333333336,24396.246913580246,2811.8888888888887
