Date,Avg_Demand,Max_Demand,Min_Demand,Year
2013-12-31,119060.23076923077,128251.0,101278.0,2013
2014-12-31,125703.5589041096,138215.0,111071.0,2014
2015-12-31,131279.03013698632,147655.0,108734.0,2015
2016-12-31,138448.81420765028,156058.0,120824.0,2016
2017-12-31,146192.42739726027,160407.0,121196.0,2017
2018-12-31,155060.26301369863,174682.0,131514.0,2018
2019-12-31,157128.3589041096,176381.0,121421.0,2019
2020-12-31,151571.42076502732,175332.0,108906.0,2020
2021-12-31,166211.3506849315,190660.0,130802.0,2021
2022-12-31,177845.96986301368,197630.0,134570.0,2022
2023-12-31,187623.0602739726,215642.0,145454.0,2023
2024-12-31,198154.06830601091,227354.0,163680.0,2024
2025-12-31,203985.0322739726,232191.0,165973.0,2025
2026-12-31,206377.2962962963,222174.0,183332.0,2026
